id,system,sector,region,grid,grid_col,grid_row
sw-00037,Acomber,,Colonies,M-9,M,9
sw-00038,Actlyon,Jjannex,Outer Rim Territories,K-19,K,19
sw-00039,Adalog,Mytaranor,Mid Rim,Q-10,Q,10
sw-00040,Adamastor,,Core Worlds,L-9,L,9
sw-00041,Adana,,Deep Core,L-10,L,10
sw-00042,Adari,Adari,Inner Rim,M-9,M,9
sw-00043,Adarlon,Minos Cluster,Outer Rim Territories,M-20,M,20
sw-00044,Adelphi,Kibilini,Outer Rim Territories,P-17,P,17
sw-00045,Adikaria,,Core Worlds,K-12,K,12
sw-00046,Adim,Adari,Inner Rim,M-9,M,9
sw-00047,Adin,Lostar,Expansion Region,M-7,M,7
sw-00048,Adinax Nebula,Semagi,Mid Rim,I-16,I,16
sw-00049,Adner,Yataga,Expansion Region,N-16,N,16
sw-00050,Adoris,Senex,Mid Rim,L-17,L,17
sw-00051,Adras,Seswenna,Outer Rim Territories,M-17,M,17
sw-00052,Adratharpe,,Mid Rim,H-15,H,15
sw-00053,Adrathorpe,,Wild Space,I-11,I,11
sw-00054,Aduba,Bheriz,Outer Rim Territories,U-11,U,11
sw-00055,Adumar,,Wild Space,J-6,J,6
sw-00056,Aefao,Corosi,Outer Rim Territories,N-5,N,5
sw-00057,Aeneid,Kessel,Outer Rim Territories,T-10,T,10
sw-00058,Aeos,Chopani,Outer Rim Territories,M-3,M,3
sw-00059,Aesolian,,Wild Space,I-15,I,15
sw-00060,Aestilan,Demetras,Outer Rim Territories,P-7,P,7
sw-00061,Aeten,,Wild Space,J-6,J,6
sw-00062,Affa,,Inner Rim,M-13,M,13
sw-00063,Affadar,Fellwe,Expansion Region,L-8,L,8
sw-00064,Affavan,,Hutt Space,S-12,S,12
sw-00065,Agamar,Lahara,Outer Rim Territories,M-5,M,5
sw-00066,Agaris,,Wild Space,G-14,G,14
sw-00067,Agash,Great Agash,Expansion Region,K-15,K,15
sw-00068,Agoliba-Tu,Veragi,Outer Rim Territories,K-3,K,3
sw-00069,Agomar,Seswenna,Outer Rim Territories,M-18,M,18
sw-00070,Agon,Ash Worlds,Outer Rim Territories,T-7,T,7
sw-00071,Agora,Sluis,Outer Rim Territories,M-19,M,19
sw-00072,Agridorn,,Colonies,N-12,N,12
sw-00073,Agriworld-2079,M'shinni,Mid Rim,L-7,L,7
sw-00074,Aguarl,Mbandamonte,Expansion Region,N-15,N,15
sw-00075,Ahakista,Myto,Outer Rim Territories,K-3,K,3
sw-00076,Ahch-To,,Unknown Regions,F-13,F,13
sw-00077,Ahn Krantarium,Esuain,Mid Rim,P-7,P,7
sw-00078,Ai'ken Prime,,Inner Rim,O-10,O,10
sw-00079,Aida,Aida,Mid Rim,Q-13,Q,13
sw-00080,Aikhibba,Fei Hu,Mid Rim,P-13,P,13
sw-00081,Ailon,,Inner Rim,N-12,N,12
sw-00082,Aiqin,Airam,Outer Rim Territories,L-20,L,20
sw-00083,Ajan Kloss,Cademimu,Outer Rim Territories,L-5,L,5
sw-00084,Ak-Hurst,Tarabba,Outer Rim Territories,M-19,M,19
sw-00085,Akiva,Meerian,Outer Rim Territories,O-6,O,6
sw-00086,Akkadese Maelstrom,Kessel,Outer Rim Territories,T-10,T,10
sw-00087,Akrit'tar,Calaron,Outer Rim Territories,T-9,T,9
sw-00088,Akuria,Oplovis,Outer Rim Territories,M-5,M,5
sw-00089,Al'doleem,Hune,Mid Rim,Q-12,Q,12
sw-00090,Alabash,Fakir,Colonies,K-9,K,9
sw-00091,Alagon,Tennuutta,Mid Rim,Q-7,Q,7
sw-00092,Alakatha,Var Hagen,Mid Rim,M-16,M,16
sw-00093,Alamass,Calaron,Outer Rim Territories,T-9,T,9
sw-00094,Alarevi,Gaulus,Outer Rim Territories,S-17,S,17
sw-00095,Alashan,,Wild Space,J-5,J,5
sw-00096,Alaspin,Suolriep,Outer Rim Territories,S-8,S,8
sw-00097,Alassa Major,Vilonis,Mid Rim,O-16,O,16
sw-00098,Alba,Belsmuth,Outer Rim Territories,O-6,O,6
sw-00099,Albarrio,Albarrio,Outer Rim Territories,K-5,K,5
sw-00100,Albecus,,Core Worlds,L-9,L,9
sw-00101,Albrae-Don,Sern,Colonies,L-13,L,13
sw-00102,Alchenaut,Alchenaut,Expansion Region,L-16,L,16
sw-00103,Alderaan,Alderaan,Core Worlds,M-10,M,10
sw-00104,Alderath,Alderath,Mid Rim,L-7,L,7
sw-00105,Alderbathe,Churnis,Mid Rim,J-6,J,6
sw-00106,Aldereen,,Inner Rim,M-14,M,14
sw-00107,Aldhani,Cademimu,Outer Rim Territories,M-6,M,6
sw-00108,Aldin,Aldino,Mid Rim,J-17,J,17
sw-00109,Aldivy,Illisurevimurasi,Outer Rim Territories,Q-4,Q,4
sw-00110,Aldo Spach,Jospro,Outer Rim Territories,S-7,S,7
sw-00111,Aldraig,,Core Worlds,M-10,M,10
sw-00112,Alee,,Hutt Space,R-9,R,9
sw-00113,Aleen,Bright Jewel,Mid Rim,L-7,L,7
sw-00114,Aleen Minor,,Inner Rim,M-13,M,13
sw-00115,Aleron,Tapani,Colonies,L-13,L,13
sw-00116,Alfestril,,Inner Rim,N-12,N,12
sw-00117,Algara,Lambda,Mid Rim,P-15,P,15
sw-00118,Algarian,Dufilvian,Mid Rim,Q-15,Q,15
sw-00119,Algarra,Thrasybule,Outer Rim Territories,P-6,P,6
sw-00120,Algnadesh,Hapes Cluster,Inner Rim,O-9,O,9
sw-00121,Algor,Cronese Mandate,Outer Rim Territories,S-6,S,6
sw-00122,Algunnis,Trax,Mid Rim,Q-10,Q,10
sw-00123,Alion,,Inner Rim,L-14,L,14
sw-00124,Alios,Rachuk,Colonies,N-11,N,11
sw-00125,Alis Point,Tamarin,Outer Rim Territories,N-18,N,18
sw-00126,Alisandor,Tapani,Colonies,L-13,L,13
sw-00127,Alk'Lellish,Sumitra,Expansion Region,N-7,N,7
sw-00128,Alkenak,,Core Worlds,M-12,M,12
sw-00129,Alland,,Core Worlds,K-10,K,10
sw-00130,Allandor,Tapani,Colonies,L-13,L,13
sw-00131,Allanteen,Tynna,Expansion Region,O-14,O,14
sw-00132,Alliga,Phelleem,Outer Rim Territories,S-7,S,7
sw-00133,Allst Prime,Taldot,Mid Rim,Q-8,Q,8
sw-00134,Alluuvia,Elrood,Outer Rim Territories,M-19,M,19
sw-00135,Allyuen,Javin (Anoat),Outer Rim Territories,K-18,K,18
sw-00136,"Almagest, The",,Inner Rim,J-13,J,13
sw-00137,Almak,Almak,Mid Rim,J-17,J,17
sw-00138,Almakar,,Inner Rim,N-9,N,9
sw-00139,Almania,Mortex (Almanian),Outer Rim Territories,S-5,S,5
sw-00140,Almar,Elrood,Outer Rim Territories,M-19,M,19
sw-00141,Almera,,Inner Rim,M-8,M,8
sw-00142,Aloxl,,Deep Core,L-10,L,10
sw-00143,Aloxor,Kontahr,Mid Rim,R-11,R,11
sw-00144,Alpheridies,Farstey,Expansion Region,O-8,O,8
sw-00145,Alphoresis,Grumani,Outer Rim Territories,M-17,M,17
sw-00146,Alpinn,Kanz,Outer Rim Territories,N-4,N,4
sw-00147,Alsakan,Alsaka,Core Worlds,L-9,L,9
sw-00148,Altair,Thrasybule,Outer Rim Territories,P-6,P,6
sw-00149,Altano,Piryn Shar,Expansion Region,K-16,K,16
sw-00150,Altarrn,Glythe,Mid Rim,J-7,J,7
sw-00151,Altawar,Corellian,Core Worlds,M-11,M,11
sw-00152,Althir,Rolion,Outer Rim Territories,P-6,P,6
sw-00153,Altier,Altier,Expansion Region,O-13,O,13
sw-00154,Altikar,Toblain,Outer Rim Territories,O-18,O,18
sw-00155,Altooni,Corellian,Core Worlds,M-11,M,11
sw-00156,Altor,Zoraster,Outer Rim Territories,U-13,U,13
sw-00157,Altora,Dalonbian,Outer Rim Territories,L-3,L,3
sw-00158,Altratonne,Ash Worlds,Outer Rim Territories,S-7,S,7
sw-00159,Altunna,Cassander,Outer Rim Territories,K-5,K,5
sw-00160,Altyr,Morshdine,Outer Rim Territories,O-5,O,5
sw-00161,Aludia,Trilon,Outer Rim Territories,H-16,H,16
sw-00162,Alui,Alui,Mid Rim,O-17,O,17
sw-00163,Alun,Oriolan,Mid Rim,J-16,J,16
sw-00164,Alurion,Raioballo,Outer Rim Territories,L-4,L,4
sw-00165,Alvorine,Yminis,Outer Rim Territories,S-14,S,14
sw-00166,Alzar,Thanium,Outer Rim Territories,R-6,R,6
sw-00167,Alzoc,Sujimis,Outer Rim Territories,P-19,P,19
sw-00168,Amaltanna,Kanz,Outer Rim Territories,N-4,N,4
sw-00169,Amar,Airon,Inner Rim,O-10,O,10
sw-00170,Amarin,Allied Tion,Outer Rim Territories,S-6,S,6
sw-00171,Amaxine Station,Tunka,Outer Rim Territories,J-19,J,19
sw-00172,Ambria,Airon,Inner Rim,O-10,O,10
sw-00173,Amethia Prime,,Inner Rim,L-14,L,14
sw-00174,Amfar,,Inner Rim,O-8,O,8
sw-00175,Ammon,Ciutric,Outer Rim Territories,N-5,N,5
sw-00176,Ammuud,Corporate Sector,Outer Rim Territories,S-4,S,4
sw-00177,Amorphiia,Eidoloni,Mid Rim,L-16,L,16
sw-00178,Amorris,Quelii,Outer Rim Territories,O-6,O,6
sw-00179,Ampliquen,Meridian,Outer Rim Territories,R-7,R,7
sw-00180,Anadeen,,Inner Rim,O-9,O,9
sw-00181,Anantapar,Javin (Yarith),Outer Rim Territories,K-18,K,18
sw-00182,Anarak,Wyl,Outer Rim Territories,R-4,R,4
sw-00183,Anaxes,Antemeridian,Outer Rim Territories,R-7,R,7
sw-00184,Ancathia,Albarrio,Outer Rim Territories,K-5,K,5
sw-00185,Anchoron,Mayagil,Outer Rim Territories,M-18,M,18
sw-00186,Andalia,Hapes Cluster,Inner Rim,O-9,O,9
sw-00187,Andara,,Core Worlds,L-13,L,13
sw-00188,Andasala,Cor'ric,Outer Rim Territories,P-18,P,18
sw-00189,Andelm,Svivreni,Outer Rim Territories,O-19,O,19
sw-00190,Ando,Lambda,Mid Rim,Q-15,Q,15
sw-00191,Andooweel,Arkanis,Outer Rim Territories,R-16,R,16
sw-00192,Andosha,Lambda,Mid Rim,P-15,P,15
sw-00193,Andraven,Wazta,Outer Rim Territories,J-18,J,18
sw-00194,Andulia,Doldur,Mid Rim,P-15,P,15
sw-00195,Andurkoss,Nouane,Inner Rim,N-8,N,8
sw-00196,Anduvia,Immalia,Expansion Region,K-8,K,8
sw-00197,Anelsana,Farstey,Expansion Region,O-8,O,8
sw-00198,Anemcoro,Albarrio,Outer Rim Territories,K-5,K,5
sw-00199,Anga,Sarka,Mid Rim,Q-8,Q,8
sw-00200,Angeria,Venaarian,Mid Rim,O-8,O,8
sw-00201,Angor,Myto,Outer Rim Territories,K-4,K,4
sw-00202,Angrallia,Fath,Outer Rim Territories,K-6,K,6
sw-00203,Angratha,Senex,Mid Rim,L-18,L,18
sw-00204,Anic,Xan,Mid Rim,Q-15,Q,15
sw-00205,Ank Ki'Shor,Indrexu,Outer Rim Territories,S-5,S,5
sw-00206,Ank Kit'aar,Druess,Mid Rim,O-15,O,15
sw-00207,Ankhural,,Hutt Space,R-9,R,9
sw-00208,Ankori,Kossa,Expansion Region,P-10,P,10
sw-00209,Ankot Station,Brema,Outer Rim Territories,M-17,M,17
sw-00210,Ankus,,Mid Rim,I-7,I,7
sw-00211,Annaj,Zuma (Moddell),Outer Rim Territories,H-16,H,16
sw-00212,Annamar,Bes Ber Bikade,Expansion Region,L-15,L,15
sw-00213,Annoo,Tharin,Outer Rim Territories,S-8,S,8
sw-00214,Anoat,Javin (Anoat),Outer Rim Territories,K-18,K,18
sw-00215,Anobis,Bright Jewel,Mid Rim,L-7,L,7
sw-00216,Anorelga,Braxant,Outer Rim Territories,K-3,K,3
sw-00217,Anoth,,Wild Space,J-20,J,20
sw-00218,Ansarra,Iskin,Mid Rim,O-16,O,16
sw-00219,Ansata,,Core Worlds,M-11,M,11
sw-00220,Ansek,Eidoloni,Mid Rim,M-17,M,17
sw-00221,Ansett,Ciutric,Outer Rim Territories,N-5,N,5
sw-00222,Ansillivog,Majoor,Expansion Region,N-15,N,15
sw-00223,Ansion,Churnis,Mid Rim,I-6,I,6
sw-00224,Anstares,Juvex,Mid Rim,L-17,L,17
sw-00225,Antakaria,Bothan,Mid Rim,R-14,R,14
sw-00226,Antamont,Meridian,Outer Rim Territories,R-6,R,6
sw-00227,Antar,,Inner Rim,N-12,N,12
sw-00228,Antared,Esstran,Outer Rim Territories,Q-4,Q,4
sw-00229,Antares,,Inner Rim,N-12,N,12
sw-00230,Anteevy,Esuain,Mid Rim,P-7,P,7
sw-00231,Antemeridias,Antemeridian,Outer Rim Territories,R-7,R,7
sw-00232,Anthan,Braxant,Outer Rim Territories,K-3,K,3
sw-00233,Anthus,Brema,Outer Rim Territories,M-17,M,17
sw-00234,Antillion,D'Astan,Outer Rim Territories,O-6,O,6
sw-00235,Antine,,Outer Rim Territories,I-19,I,19
sw-00236,Antipose,Centrality,Outer Rim Territories,U-8,U,8
sw-00237,Antiquity,Senex,Mid Rim,L-18,L,18
sw-00238,Antmuel,Chopani,Outer Rim Territories,M-3,M,3
sw-00239,Anto's Star,Saijo,Outer Rim Territories,K-20,K,20
sw-00240,Antolus,Sarka,Mid Rim,Q-8,Q,8
sw-00241,Anturus,Senex,Mid Rim,L-18,L,18
sw-00242,Anukara,Prackla,Expansion Region,O-8,O,8
sw-00243,Anx Minor,Raioballo,Outer Rim Territories,L-4,L,4
sw-00244,Anzat,Bryx,Mid Rim,R-7,R,7
sw-00245,Anzell,Bryx,Mid Rim,R-7,R,7
sw-00246,Aostai,,Wild Space,I-13,I,13
sw-00247,Apatros,Savareen,Outer Rim Territories,Q-16,Q,16
sw-00248,Apgar,Hilo,Expansion Region,O-13,O,13
sw-00249,Aphran,,Inner Rim,K-8,K,8
sw-00250,Apiliria,,Wild Space,T-5,T,5
sw-00251,Aplooine,Grumani,Outer Rim Territories,N-17,N,17
sw-00252,Apoka,Dohlbani,Mid Rim,R-14,R,14
sw-00253,Aq Vetina,Relgim,Outer Rim Territories,M-4,M,4
sw-00254,Aquaris,Sumitra,Expansion Region,N-7,N,7
sw-00255,Aquella,Senex,Mid Rim,L-17,L,17
sw-00256,Aquilae,,Colonies,N-12,N,12
sw-00257,Aquilaris,Sanbra,Outer Rim Territories,O-17,O,17
sw-00258,Aquilaris Minor,Grumani,Outer Rim Territories,M-17,M,17
sw-00259,Arabanth,Hapes Cluster,Inner Rim,O-9,O,9
sw-00260,Aradia,,Core Worlds,K-10,K,10
sw-00261,Arah,Dantus,Outer Rim Territories,J-6,J,6
sw-00262,Arakein,,Inner Rim,N-8,N,8
sw-00263,Aralia,Antemeridian,Outer Rim Territories,R-7,R,7
sw-00264,Aramal,Ryborean,Expansion Region,J-8,J,8
sw-00265,Aramand,Brak,Expansion Region,O-14,O,14
sw-00266,Aramanoo,Bheriz,Outer Rim Territories,U-10,U,10
sw-00267,Arami,Galov,Outer Rim Territories,T-13,T,13
sw-00268,Arantara,Dalmar,Mid Rim,Q-16,Q,16
sw-00269,Arapia,Dalchon,Outer Rim Territories,R-18,R,18
sw-00270,Arashar,,Inner Rim,J-8,J,8
sw-00271,Arat Fraca,,Colonies,M-12,M,12
sw-00272,Arath,Tunka,Outer Rim Territories,J-19,J,19
sw-00273,Arbiflux,Dalonbian,Outer Rim Territories,L-3,L,3
sw-00274,Arbooine,(Arboo),Outer Rim Territories,T-17,T,17
sw-00275,Arbra,Bon'nyuw-Luq,Outer Rim Territories,N-17,N,17
sw-00276,Arbular,Lambda,Mid Rim,Q-15,Q,15
sw-00277,Arc of Eden,Immalia,Expansion Region,K-8,K,8
sw-00278,Arcadi,,Inner Rim,N-10,N,10
sw-00279,Arcan,Cronese Mandate,Outer Rim Territories,S-6,S,6
sw-00280,Arcana,Lahara,Outer Rim Territories,M-5,M,5
sw-00281,Archae Teuthis,Brevost,Expansion Region,O-14,O,14
sw-00282,Archais,Hapes Cluster,Inner Rim,O-9,O,9
sw-00283,Archenar,Metatessu,Mid Rim,R-10,R,10
sw-00284,Archeon Nebula,Lothal,Outer Rim Territories,T-7,T,7
sw-00285,Arcopola,Spadja,Outer Rim Territories,Q-5,Q,5
sw-00286,Arcura,,Inner Rim,L-8,L,8
sw-00287,Arda,Gordian Reach,Outer Rim Territories,Q-6,Q,6
sw-00288,Ardennia,Fath,Outer Rim Territories,K-6,K,6
sw-00289,Ardis,,Unknown Regions,G-3,G,3
sw-00290,Ardroxia,Elochar,Mid Rim,R-9,R,9
sw-00291,Ardru,Iseno,Inner Rim,N-13,N,13
sw-00292,Argai,Cronese Mandate,Outer Rim Territories,S-6,S,6
sw-00293,Argai Minor,Haldeen,Colonies,M-9,M,9
sw-00294,Argavat,,Colonies,J-13,J,13
sw-00295,Argazda,Kanz,Outer Rim Territories,N-4,N,4
sw-00296,Argo,Tragan Cluster,Outer Rim Territories,N-5,N,5
sw-00297,Argoba,Trilon,Outer Rim Territories,H-15,H,15
sw-00298,Argoon,Tion Hegemony,Outer Rim Territories,S-6,S,6
sw-00299,Argovia,Endocray,Mid Rim,S-14,S,14
sw-00300,Argul,D'Aelgoth,Mid Rim,L-17,L,17
sw-00301,Argus,Lambda,Mid Rim,P-16,P,16
sw-00302,Aria Prime,,Inner Rim,O-9,O,9
sw-00303,Ariarch-17,Ariarch,Mid Rim,J-6,J,6
sw-00304,Aridinia,,Inner Rim,M-13,M,13
sw-00305,Aridka,Hertae,Mid Rim,Q-14,Q,14
sw-00306,Aridus,Narvath,Expansion Region,O-14,O,14
sw-00307,Arieli,Authala,Expansion Region,P-12,P,12
sw-00308,Aris,Albarrio,Outer Rim Territories,K-5,K,5
sw-00309,Aris Minor,Parmel,Outer Rim Territories,O-18,O,18
sw-00310,Arkam,,Inner Rim,M-14,M,14
sw-00311,Arkania,,Colonies,M-8,M,8
sw-00312,Arkanis,Arkanis,Outer Rim Territories,R-17,R,17
sw-00313,Arkax Station,,Inner Rim,M-14,M,14
sw-00314,Arkinnea,Axion,Expansion Region,P-10,P,10
sw-00315,Arkonne,Tarabba,Outer Rim Territories,M-19,M,19
sw-00316,Arkuda,Gordian Reach,Outer Rim Territories,Q-6,Q,6
sw-00317,Arleen,Centrality,Outer Rim Territories,T-8,T,8
sw-00318,Armath,Mikaster,Expansion Region,N-15,N,15
sw-00319,Arnot Station,Far Xandil,Mid Rim,P-16,P,16
sw-00320,Arorua,Sertar,Outer Rim Territories,R-5,R,5
sw-00321,Arporatal-Lanin,Juvex,Mid Rim,K-18,K,18
sw-00322,Arquata Station,Bes Ber Bikade,Expansion Region,L-15,L,15
sw-00323,Arrakan,Kalamith,Outer Rim Territories,P-5,P,5
sw-00324,Arramanx,Cronese Mandate,Outer Rim Territories,S-6,S,6
sw-00325,Arreyel,,Inner Rim,M-14,M,14
sw-00326,Arrgaw,Kira,Expansion Region,N-16,N,16
sw-00327,Arrochar,,Hutt Space,S-8,S,8
sw-00328,Arron Prime,Cassander,Outer Rim Territories,L-5,L,5
sw-00329,Arsteni,,Colonies,L-8,L,8
sw-00330,Artemesium,Lifh,Mid Rim,R-8,R,8
sw-00331,Artesia,Hangshan,Expansion Region,P-11,P,11
sw-00332,Arthon,Ottega,Mid Rim,L-6,L,6
sw-00333,Arthuria,Merthian,Expansion Region,N-14,N,14
sw-00334,Artiod Minor,Morellian CW*,Wild Space,S-3,S,3
sw-00335,Artom,Nuon e Safyd,Expansion Region,P-12,P,12
sw-00336,Artorias,Myto,Outer Rim Territories,K-3,K,3
sw-00337,Artus Prime,Kwymar,Outer Rim Territories,Q-4,Q,4
sw-00338,Aruza,,Expansion Region,I-14,I,14
sw-00339,Arvaka Prime,,Inner Rim,N-9,N,9
sw-00340,Arvala,Sevetta,Outer Rim Territories,S-15,S,15
sw-00341,Arveesh Station,Eclorar,Mid Rim,Q-12,Q,12
sw-00342,Arvina,Quiberon,Outer Rim Territories,S-15,S,15
sw-00343,Arzid,Calaron,Outer Rim Territories,T-9,T,9
sw-00344,Asamin,Strabin,Mid Rim,M-7,M,7
sw-00345,Asation,Veragi (Gree Enclave),Outer Rim Territories,K-3,K,3
sw-00346,Ash Moon 1,Jubilar (Kartovian),Outer Rim Territories,T-7,T,7
sw-00347,Ashas Ree,Esstran (Sith Worlds),Outer Rim Territories,R-5,R,5
sw-00348,Ashas Rine,Mortex,Outer Rim Territories,R-5,R,5
sw-00349,Ashash,Zarracina,Expansion Region,N-14,N,14
sw-00350,Asher,Sprizen,Outer Rim Territories,N-5,N,5
sw-00351,Ashkas-kov,Shelsha,Colonies,M-9,M,9
sw-00352,Ashteri's Cloud,Kessel,Outer Rim Territories,T-10,T,10
sw-00353,Askaj,Cegul,Outer Rim Territories,M-20,M,20
sw-00354,Askaria,Askarian,Expansion Region,P-12,P,12
sw-00355,Askkto-Fen,,Wild Space,P-19,P,19
sw-00356,Asmall,Ara Dyelle,Inner Rim,O-9,O,9
sw-00357,Asmeru,Senex,Mid Rim,L-17,L,17
sw-00358,Asog,Esstran,Outer Rim Territories,Q-4,Q,4
sw-00359,Asran,Brak,Expansion Region,O-14,O,14
sw-00360,Asrat,,Inner Rim,N-8,N,8
sw-00361,Ast Kikorie,Zuma (Moddell),Outer Rim Territories,H-16,H,16
sw-00362,Asteph'skaff,,Wild Space,I-6,I,6
sw-00363,Asterios,Narrant,Mid Rim,I-16,I,16
sw-00364,Asturias,Epsi Collective,Expansion Region,M-16,M,16
sw-00365,Asuin,,Hutt Space,S-11,S,11
sw-00366,Asusto,Gordian Reach,Outer Rim Territories,P-5,P,5
sw-00367,Asyrphus,Perkell,Mid Rim,Q-7,Q,7
sw-00368,At Attin,Quelii,Outer Rim Territories,N-6,N,6
sw-00369,Atanu,Alderath,Mid Rim,L-7,L,7
sw-00370,Atapap,,Inner Rim,N-12,N,12
sw-00371,Atchorb,Corporate Sector,Outer Rim Territories,S-3,S,3
sw-00372,Athallia,Athallia,Expansion Region,M-15,M,15
sw-00373,Athamar,Hewett,Mid Rim,M-7,M,7
sw-00374,Ather,Atravis,Outer Rim Territories,L-20,L,20
sw-00375,Athio,Mayagil,Outer Rim Territories,N-18,N,18
sw-00376,Athiss,Esstran (Sith Worlds),Outer Rim Territories,R-4,R,4
sw-00377,Athus Klee,Kalamith,Outer Rim Territories,P-5,P,5
sw-00378,Atoa,Ghost Nebula,Expansion Region,P-10,P,10
sw-00379,Atollon,Lothal,Outer Rim Territories,T-7,T,7
sw-00380,Ator,,Core Worlds,M-10,M,10
sw-00381,Atorra,Gordian Reach,Outer Rim Territories,Q-5,Q,5
sw-00382,Atraken,Rolion,Outer Rim Territories,Q-7,Q,7
sw-00383,Atrakus,Mikaster,Expansion Region,M-15,M,15
sw-00384,Atravis,Atravis,Outer Rim Territories,L-19,L,19
sw-00385,Atron,Senex,Mid Rim,L-18,L,18
sw-00386,Attahox,Hocatar,Expansion Region,P-12,P,12
sw-00387,Atterol,Atravis,Outer Rim Territories,L-19,L,19
sw-00388,Atterra,Kanz,Outer Rim Territories,N-4,N,4
sw-00389,Aturi Cluster,Hook Nebula,Outer Rim Territories,O-18,O,18
sw-00390,Atzerri,,Inner Rim,M-13,M,13
sw-00391,Aur,,Colonies,J-13,J,13
sw-00392,Auratera,Vorzyd,Outer Rim Territories,R-6,R,6
sw-00393,Aurea,Corellian,Core Worlds,M-11,M,11
sw-00394,Auril,Auril,Outer Rim Territories,R-6,R,6
sw-00395,Aurimaus,,Wild Space,I-16,I,16
sw-00396,Austan,Arkanis,Outer Rim Territories,R-16,R,16
sw-00397,Avedot,,Colonies,L-8,L,8
sw-00398,Avenel,,Inner Rim,O-8,O,8
sw-00399,Avenelle,Lantillian,Mid Rim,P-9,P,9
sw-00400,Averam,Seswenna,Outer Rim Territories,M-18,M,18
sw-00401,Averill,Teraab,Mid Rim,P-11,P,11
sw-00402,Avernio,,Unknown Regions,G-5,G,5
sw-00403,Avery,Belderone,Outer Rim Territories,R-6,R,6
sw-00404,Avidich,Chiss Space*,Unknown Regions,E-8,E,8
sw-00405,Aviles Prime,Hythrope,Expansion Region,M-15,M,15
sw-00406,Awalia,Raioballo,Outer Rim Territories,L-4,L,4
sw-00407,AX-456,Barma,Colonies,M-9,M,9
sw-00408,Axion,Axion,Expansion Region,P-10,P,10
sw-00409,Axtria,,Core Worlds,L-9,L,9
sw-00410,Axxila,D'Astan,Outer Rim Territories,O-5,O,5
sw-00411,Aybaria,Steniplis,Outer Rim Territories,L-19,L,19
sw-00412,Ayceezee,Kanz,Outer Rim Territories,N-4,N,4
sw-00413,Aylayl,,Hutt Space,S-12,S,12
sw-00414,Aynaboni,,Outer Rim Territories,J-5,J,5
sw-00415,Azbrian,,Core Worlds,L-12,L,12
sw-00416,Azna,Demetras,Outer Rim Territories,P-6,P,6
sw-00417,Aztubek,Javin,Outer Rim Territories,K-18,K,18
sw-00418,Azum,Itopol,Expansion Region,K-15,K,15
sw-00419,Azura,Oricho,Outer Rim Territories,M-6,M,6
sw-00420,Azure,Truum,Mid Rim,P-8,P,8
sw-00421,Azzameen Station,Garis,Outer Rim Territories,N-17,N,17
sw-00422,B'Knos,,Wild Space,G-16,G,16
sw-00423,B'nish,Tharin,Outer Rim Territories,S-8,S,8
